EventId,EventTemplate,Occurrences
9b7aa7a3,Receiving block blk_<*> src: <*> dest: /<*>:50010,1150
81358cb3,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,385
d58a26f6,PacketResponder <*> for block blk_<*> terminating,12
797b9c47,Received block blk_<*> of size <*> from /<*>,12
2f313c72,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:50010 is added to blk_<*> size <*>,19
1cbd0272,Received block blk_<*> src: <*> dest: /<*>:50010 of size 91178,7
53c00e5f,<*>:50010:Transmitted block blk_<*> to /<*>:50010,4
5e47c5c3,"<*>:50010 Starting thread to transfer block blk_<*> to <*>:50010, <*>:50010",3
4ed2a0c0,BLOCK* ask <*>:50010 to replicate blk_<*> to datanode(s) <*>:50010 <*>:50010,3
6caae5bd,<*>:50010 Served block blk_<*> to /<*>,404
d7507d1e,BLOCK* ask <*>:50010 to replicate blk_<*> to datanode(s) <*>:50010,1
0d168c98,<*>:50010 Starting thread to transfer block blk_<*> to <*>:50010,1
